time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
61,35.0,2,31.0,24.625,73.73252925992597,0.010547572,0.009341335,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
62,35.0,2,31.0,24.625,76.94638318253152,0.010056227,0.009588441,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
63,35.0,2,31.0,24.625,70.71985139888201,0.010547572,0.009341335,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
64,35.0,2,31.0,24.625,73.751576220733,0.012539865,0.008534327,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
65,35.0,2,31.0,24.625,76.83352113789473,0.0124548245,0.010872586,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
66,35.0,2,31.0,24.625,76.62653949354367,0.010886697,0.008932039,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
67,35.0,2,31.0,24.625,75.03453061680734,0.010658187,0.008486897,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
68,35.0,2,31.0,24.625,74.50710232101385,0.010658187,0.008486897,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
69,35.0,2,31.0,24.625,74.14757997830722,0.010878372,0.008513569,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
70,35.0,2,31.0,24.625,74.66882396970075,0.011384296,0.012179478,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
71,35.0,2,31.0,24.625,73.63740633979336,0.009185436,0.00998554,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
